接口ID,模块,接口名称,请求方式,URL,用例编号,用例标题,请求头,请求参数(示例),预期状态码,预期响应,优先级,断言点,测试结果
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-001,登录-正确账号密码返回token,"Content-Type: application/json","{""username"":""admin"",""password"":""Admin@123""}",200,"{""code"":0,""msg"":""成功"",""data"":{""token"":""eyJhbG...30字符以上"",""userInfo"":{""userId"":1,""username"":""admin"",""roles"":[""admin""]}}}",P0,code=0;token非空且长度>30;userId=1,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-002,登录-密码错误,"Content-Type: application/json","{""username"":""admin"",""password"":""wrong123""}",200,"{""code"":1001,""msg"":""用户名或密码错误""}",P0,code=1001;data无token,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-003,登录-账号为空,"Content-Type: application/json","{""username"":"""",""password"":""Admin@123""}",200,"{""code"":400,""msg"":""用户名不能为空""}",P0,code=400,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-004,登录-连续5次失败锁定30分钟,"Content-Type: application/json",连续5次错误密码,200,第6次返回 code=1008 msg=账号已锁定 请30分钟后重试,P0,锁定机制;剩余次数正确,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-005,登录-SQL注入 username=" OR 1=1 --,"Content-Type: application/json","{""username"":""' OR 1=1 --"",""password"":""any""}",200,code=1001 不返回任何用户数据,P0,防注入,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-006,登录-密码不做明文传输,"Content-Type: application/json",抓包查看,200,password字段为密文或加密传输 非明文,P0,安全,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-007,登录-成功后返回用户权限菜单,"Content-Type: application/json",正确账号密码,200,data.permissions数组包含该角色所有菜单 P0级都出现,P1,权限,已通过
API-M01-001,权限登录,用户登录,POST,/api/auth/login,ZW-API-008,登录-token过期时间=24h,"Content-Type: application/json",登录,200,解析token exp字段 = 86400秒,P0,配置,已通过
API-M01-002,权限登录,刷新Token,POST,/api/auth/refresh,ZW-API-009,refreshToken-在有效期内刷新,"Authorization: Bearer {token}","{""refreshToken"":""{valid_refresh}""}",200,返回新token+新refreshToken 旧token在宽限期外失效,P0,双token机制,已通过
API-M01-002,权限登录,刷新Token,POST,/api/auth/refresh,ZW-API-010,refreshToken-过期后拒绝,"Authorization: Bearer {token}","{""refreshToken"":""{expired}""}",401,code=401 msg=登录已过期请重新登录,P0,过期机制,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-011,分页查询-默认page=1 size=10,"Authorization: Bearer {admin_token}",page=1&size=10,200,"code=0 data.records.size=10 data.total≥10 data.current=1",P0,分页字段正确,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-012,分页page=0 边界值处理,"Authorization: Bearer {token}",page=0,200,自动修正为page=1 或返回空但不500,P1,边界,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-013,size=1000 上限限制,"Authorization: Bearer {token}",size=10000,200,按配置上限100截断 防止拖库,P0,安全,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-014,未授权访问 无token,,无Authorization,401,401状态 code=401,P0,鉴权,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-015,数据权限-销售仅见自己的学员,"Authorization: Bearer {sales01_token}",无参查全部,200,data.records中每条.followUserId==sales01_id,P0,数据权限,已失败-已修复
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-016,条件搜索-手机号精确,"Authorization: Bearer {token}",keyword=138****0000,200,返回1条 且mobile==138****0000,P1,查询,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-017,多条件 校区+状态+来源,"Authorization: Bearer {token}",campusId=1&status=在读&source=转介绍,200,所有结果同时满足 与SQL count一致,P1,组合查询,已通过
API-M02-001,学员管理,获取学员列表,GET,/api/student/list,ZW-API-018,排序-sort=createTime order=desc,"Authorization: Bearer {token}",sort=createTime&order=desc,200,records按createTime从新到旧,P1,排序,已通过
API-M02-002,学员管理,新增学员,POST,/api/student,ZW-API-019,新增-完整参数成功,"Authorization: Bearer {token} Content-Type: application/json","{""name"":""接口测试学员"",""mobile"":""138****0000"",""gender"":1,""gradeId"":3,""sourceId"":1,""campusId"":1,""followUserId"":1}",201或200,code=0 data.id>0 数据库存在记录,P0,新增,已通过
API-M02-002,学员管理,新增学员,POST,/api/student,ZW-API-020,新增-重复手机号拦截,"Authorization: Bearer {token}","{""name"":""重复"",""mobile"":""138****0000""}",200,code=2001 msg=该手机号已存在,P0,唯一约束,已通过
API-M02-002,学员管理,新增学员,POST,/api/student,ZW-API-021,新增-无权限用户403,"Authorization: Bearer {无新增权限角色token}",同正常参数,403,状态403 code=403,P0,鉴权,已通过
API-M02-002,学员管理,新增学员,POST,/api/student,ZW-API-022,新增-mobile为12位超长,"Authorization: Bearer {token}","{""mobile"":""138****00001""}",200,code=400 msg=手机号格式错误,P1,边界,已通过
API-M02-002,学员管理,新增学员,POST,/api/student,ZW-API-023,新增-name为空,"Authorization: Bearer {token}","{""name"":""""}",200,code=400 msg=姓名必填,P0,参数校验,已通过
API-M02-002,学员管理,新增学员,POST,/api/student,ZW-API-024,新增-XSS name=<script>alert(1)</script>,"Authorization: Bearer {token}","{""name"":""<script>alert(1)</script>""}",200,保存被转义 或code=400拦截,P0,XSS,已通过
API-M02-003,学员管理,编辑学员,PUT,/api/student/{id},ZW-API-025,编辑-正常修改成功,"Authorization: Bearer {token}","{""id"":1001,""name"":""修改名""}",200,code=0 数据库name被更新,P0,修改,已通过
API-M02-003,学员管理,编辑学员,PUT,/api/student/{id},ZW-API-026,编辑-id不存在,PUT  /api/student/99999999,{name:any},200,code=404 msg=学员不存在,P0,不存在,已通过
API-M02-003,学员管理,编辑学员,PUT,/api/student/{id},ZW-API-027,编辑-跨校区越权修改,"Authorization: Bearer {东葛校区}",id=琅东校区学员ID,403,403 DB无修改,P0,越权,已通过
API-M02-004,学员管理,删除学员,DELETE,/api/student/{id},ZW-API-028,删除-软删除 deleted=1,"Authorization: Bearer {admin}",id=存在,200,code=0 DB查询deleted=1,P0,删除,已通过
API-M02-004,学员管理,删除学员,DELETE,/api/student/{id},ZW-API-029,删除-有关联订单不允许,"Authorization: Bearer {admin}",id=有订单学员ID,200,code=3001 msg=该学员存在订单,不允许删除,P0,业务约束,已通过
API-M02-004,学员管理,删除学员,DELETE,/api/student/{id},ZW-API-030,删除-销售无权限删别人学员,"Authorization: Bearer {sales02}",id=sales01学员,403,403,P0,权限,已通过
API-M02-005,学员管理,学员详情,GET,/api/student/{id},ZW-API-031,详情-字段完整,"Authorization: Bearer {admin}",id=1001,200,data包含 name mobile grade source followUser campus createdAt 等字段,P0,详情,已通过
API-M02-005,学员管理,学员详情,GET,/api/student/{id},ZW-API-032,详情-敏感字段脱敏 非管理员看手机号,"Authorization: Bearer {sales}",id=任意,200,mobile返回138****8001 中间4位星号,P0,安全脱敏,已失败-已修复
API-M02-006,学员管理,导入学员,POST,/api/student/import,ZW-API-033,导入-xlsx文件正确2000条,"Authorization: Bearer {admin}",multipart/form-data file=正确xlsx,200,code=0 data.success=2000 data.fail=0,P1,导入,已通过
API-M02-006,学员管理,导入学员,POST,/api/student/import,ZW-API-034,导入-exe文件拦截,"Authorization: Bearer {admin}",file=test.exe,200,code=400 msg=仅支持xlsx/xls,P0,安全上传,已通过
