用例编号,模块,子模块,用例标题,前置条件,操作步骤,预期结果,优先级,用例设计方法,状态
ZW-EMS-M02-0001,学员管理,学员档案-新增,新增学员-所有必填字段填写正确提交,1.已登录后台 2.当前用户有【学员管理-新增】权限,1.点击【学员管理】-【新增学员】 2.填写姓名=张三 手机号=138****0000 性别=男 年级=三年级 来源=地推 跟进人=当前用户 意向课程=数学班课 3.点击【保存】,1.保存成功，提示"新增成功" 2.学员列表顶部出现新学员，状态为"意向" 3.操作日志记录一条新增日志 4.数据库student表新增一条记录，字段值与输入一致,P0,等价类,已通过
ZW-EMS-M02-0002,学员管理,学员档案-新增,新增学员-姓名为空提交,1.已登录后台,"1.进入新增学员页面 2.姓名留空，其他必填字段按规则填写 3.点击保存","1.保存失败 2.姓名字段下方出现红色提示：""请输入学员姓名"" 3.数据未提交,P0,等价类-无效,已通过
ZW-EMS-M02-0003,学员管理,学员档案-新增,新增学员-手机号长度为10位提交,1.已登录后台,"1.手机号输入1380013800（10位），其他必填正确 2.保存","1.保存失败 2.手机号提示：""请输入11位有效手机号""",P0,边界值-1,已通过
ZW-EMS-M02-0004,学员管理,学员档案-新增,新增学员-手机号长度为11位有效号码提交,1.已登录后台,1.手机号输入138****0000（11位） 2.其他正确 3.保存,1.保存成功,P0,边界值-min,已通过
ZW-EMS-M02-0005,学员管理,学员档案-新增,新增学员-手机号长度为12位提交,1.已登录后台,1.手机号输入138****00001（12位） 2.保存,1.保存失败 2.手机号格式错误提示,P0,边界值+1,已通过
ZW-EMS-M02-0006,学员管理,学员档案-新增,新增学员-手机号已存在重复提交,1.系统已存在手机号138****0000的学员,1.新增学员输入手机号138****0000 2.其他正确 3.保存,1.保存失败 2.提示："该手机号已存在学员档案，请核对或直接在原档案操作",P0,错误推测,已通过
ZW-EMS-M02-0007,学员管理,学员档案-新增,新增学员-姓名为特殊字符（中文允许姓名·）,1.已登录后台,1.姓名输入：欧阳·娜娜 2.其他正确 3.保存,1.保存成功 2.姓名正常显示：欧阳·娜娜,P1,等价类-字符类型,已通过
ZW-EMS-M02-0008,学员管理,学员档案-新增,新增学员-姓名长度50字符边界值,1.已登录后台,1.姓名输入50个汉字 2.保存,1.保存成功,P1,边界值-max,已通过
ZW-EMS-M02-0009,学员管理,学员档案-新增,新增学员-姓名长度51字符,1.已登录后台,1.姓名输入51个汉字 2.保存,1.保存失败 2.提示姓名字段超长（最多50字符）,P1,边界值-max+1,已通过
ZW-EMS-M02-0010,学员管理,学员档案-新增,新增学员-不选择跟进人保存,1.已登录后台,1.所有必填除跟进人外填写 2.保存,1.保存失败 2.跟进人字段标红提示必填,P0,等价类-无效,已通过
ZW-EMS-M02-0011,学员管理,学员档案-新增,新增学员-来源下拉选择全部选项遍历,1.已登录后台,"1.依次选择：地推、转介绍、线上投放、口碑、其他 各保存1次",1.所有选项均可正常保存 2.列表来源列显示正确,P1,等价类-枚举,已通过
ZW-EMS-M02-0012,学员管理,学员档案-新增,新增学员-未登录状态直接访问新增URL,1.浏览器未登录后台,1.直接输入 URL /#/student/add,1.自动跳转到登录页 2.无法进入新增页面,P0,安全-鉴权,已通过
ZW-EMS-M02-0013,学员管理,学员档案-新增,新增学员-普通用户越权无新增权限,1.用户A已登录但角色无学员新增权限,1.学员管理页面检查按钮 2.尝试POST提交数据,1.页面无【新增学员】按钮 2.接口POST返回 403 Forbidden 3.数据库无新记录,P0,安全-越权,已失败-已修复
ZW-EMS-M02-0014,学员管理,学员档案-列表,学员列表-分页每页10条翻页正常,1.学员数据≥30条,1.打开学员列表 2.点击第2页、第3页 3.返回第1页,1.每页显示10条数据 2.翻页后序号正确 3.无重复/丢失数据,P0,场景法,已通过
ZW-EMS-M02-0015,学员管理,学员档案-列表,学员列表-按手机号精确搜索,1.存在手机号138****0000,1.搜索框输入138****0000 2.回车,1.列表仅显示1条匹配记录 2.手机号完全匹配,P0,等价类,已通过
ZW-EMS-M02-0016,学员管理,学员档案-列表,学员列表-按姓名模糊搜索,1.存在学员"张三""张三四""张三疯",1.搜索框输入"张三" 2.搜索,1.列表显示3条匹配记录（所有包含张三的数据）,P0,等价类,已通过
ZW-EMS-M02-0017,学员管理,学员档案-列表,学员列表-按状态=在读筛选,1.存在多个状态学员,1.状态下拉选择"在读" 2.查询,1.列表仅显示状态=在读的学员 2.数量与数据库查询一致,P0,场景法,已通过
ZW-EMS-M02-0018,学员管理,学员档案-列表,学员列表-多条件组合查询：校区+状态+来源,1.数据充足,1.选择校区=东葛校区 状态=意向 来源=转介绍 2.查询,1.结果同时满足3个条件 2.数量与SQL count验证一致,P1,正交实验法,已通过
