缺陷ID,项目,模块,子模块,缺陷标题,缺陷等级,缺陷类型,环境,前置条件,复现步骤,实际结果,期望结果,是否必现,发现人,指派给,发现日期,状态,关闭日期,回归结果,备注,所属用例
BUG-EMS-0001,EMS-V2.0,学员管理,权限,数据权限-销售账号可以看到其他校区的学员详情,严重,越权,SIT CentOS Chrome 125,1.销售账号sales01=东葛校区 2.系统存在琅东校区学员ID=20001,1.sales01登录 2.在学员列表搜索琅东学员关键字 3.搜索不到后 直接改URL /#/student/20001 4.进入详情页,1.成功访问到学员20001 所有信息（姓名、手机、家长、课时余额） 2.可以看到完整手机号、身份证号 3.可以进行编辑、跟进操作,1.访问非本人权限学员返回403或提示无权限 2.脱敏+操作按钮不显示,是,苏绍彰,后端-李工,2025-06-19,已关闭,2025-06-20,通过,服务端接口必须二次校验数据归属，不能只靠前端菜单过滤,ZW-EMS-M02-0013
BUG-EMS-0002,EMS-V2.0,报名缴费,优惠计算,满减边界值：1999元不触发 但2000元没有减200（1999和2000一样都不触发）,严重,计算错误,SIT MySQL8,配置了活动：单笔报名满2000减200,1.课时19=1900 看实付 2.课时20=2000 看实付,1.1900实付=1900（正确不触发） 2.2000实付=2000（没有减200 错误！）,2000应该实付1800,是,苏绍彰,后端-陈工,2025-06-20,已关闭,2025-06-21,通过,后端代码中判断条件写的 >2000 不是 >=2000,ZW-EMS-M04-0002
BUG-EMS-0003,EMS-V2.0,学员管理,档案,删除有订单的学员 提示信息不正确且删除失败后 列表状态变了（软删除）,致命,数据一致性,SIT,学员ID=3001 已有2笔报名缴费记录,1.在学员列表选中3001 2.点删除 3.确认"确定删除",1.弹窗后 学员3001在列表消失了 2.去回收站也没有 3.去DB看 deleted=1 但订单还在 4.财务报表 订单关联不到学员了 导致外键关联异常,1.存在关联订单的学员禁止删除（物理/软都不允许） 2.提示："该学员存在报名缴费记录，请先【结业】或【退费】再处理",是,苏绍彰,后端-开发负责人,2025-06-20,已关闭,2025-06-22,通过,先判断再删除 并且事务包裹,ZW-EMS-M02-0025
BUG-EMS-0004,EMS-V2.0,报名缴费,订单列表,销售sales01账号 在订单列表可以看到所有订单的实付金额（未脱敏）,严重,安全/脱敏,SIT Chrome,角色定义：销售只能看到是否已缴费 看不到金额,1.sales01登录 2.进入订单列表 3.看payAmount列 4.导出CSV,1.看到每个订单具体金额 2.导出的CSV金额也是明文,1.sales角色看到金额显示为 **** 2.导出csv金额字段留空或****,是,苏绍彰,前端-张工,2025-06-21,已关闭,2025-06-22,通过,前端+后端双重脱敏 后端返回null,ZW-EMS-M04-0037
BUG-EMS-0005,EMS-V2.0,智能排课,冲突检测,同教师同时间段 两个班都排入成功（教师时间冲突没检测出来）,严重,业务规则,SIT,教师T001 周六10:00-12:00 已排数学班,1.自动排课 2.英语班也指定教师T001 周六10:00-12:00 3.保存,1.系统没有任何冲突提示 2.两个班课都显示排课成功 3.教师课表出现了两个同时段的课,1.保存前校验冲突 提示："教师XXX 周六10:00-12:00 已被占用，无法排入",是,苏绍彰,后端-算法组,2025-06-22,已关闭,2025-06-25,通过,SQL查询教师时段重叠条件 漏掉了 边界时间相等,ZW-EMS-M04-0049 / ZW-API-066
BUG-EMS-0006,EMS-V2.0,学员管理,新增,保存按钮防抖无效 快速双击保存按钮 创建了2条一样的学员,一般,功能缺陷,SIT Chrome 快速点击,正常权限 新增页面打开,1.快速用鼠标左键双击【保存】按钮 2次 间隔<100ms 2.回到学员列表,1.列表出现了2条一模一样（手机号、姓名一样）学员2个ID 2.数据库 2条记录 手机号未做唯一约束时 重复数据,1.只创建1条记录 2.按钮在loading期间不可再点,偶发(80%),苏绍彰,前端-张工,2025-06-22,已关闭,2025-06-23,通过,前端按钮防抖+后端唯一索引双保险,ZW-EMS-M02-0057
BUG-EMS-0007,EMS-V2.0,学员管理,详情,学员身份证号/手机号 普通角色查看详情 不脱敏（完全显示）,严重,安全-隐私合规,SIT Firefox,1.销售sales01登录 2.存在学员详情有手机号138****0000 身份证号450101201001010011,1.打开学员详情页 2.查看手机号、身份证号字段,1.完全显示 138****0000 和完整身份证号 违反《个人信息保护法》最小必要原则,1.显示为 138****8001  2.身份证号 4501**********0011  3.超级管理员角色才可看全号,是,苏绍彰,前端+后端,2025-06-23,已关闭,2025-06-24,通过,服务端返回VO类中加脱敏注解 @Desensitize,ZW-EMS-M02-0061 / ZW-API-032
BUG-EMS-0008,EMS-V2.0,权限管理,数据权限,跨校区学员 东葛校区销售sales01 将学员 归属校区修改为 琅东后 sales01还能看到并编辑该学员（权限未实时生效）,一般,权限,SIT,学员30001 原校区=东葛，归属人=sales01,1.sales01登录 编辑学员30001 2.修改校区字段为琅东 3.保存成功 4.刷新学员列表,1.sales01列表仍然显示学员30001 2.详情可继续编辑 3.操作权限未随校区切换同步,1.修改归属校区后 原销售无法再看到、编辑该学员 2.琅东对应销售自动可见,是,苏绍彰,后端-权限组,2025-06-23,已关闭,2025-06-25,通过,权限AOP切面每次查询都要过滤 不要用缓存的用户校区,ZW-EMS-M02-0049 / ZW-API-027
BUG-EMS-0009,EMS-V2.0,报名缴费,退费,财务报表 有退费的订单 营收日报 当天总金额 没有减掉退费金额（收入虚高）,严重,财务数据错误,SIT DB验证,6月20日 收10万 退费2万,1.查日报表 6月20日的总营收、净收入,1.日报表总营收=10万 净收入=10万 退费部分没有扣除,1.总营收=10万 总退费=2万 当日净收入=8万 3个字段都要明确,是,苏绍彰,后端-财务组,2025-06-24,已关闭,2025-06-26,通过,报表SQL少了LEFT JOIN 退费表sum,ZW-EMS-M04-0036
BUG-EMS-0010,EMS-V2.0,学员管理,导入,学员导入Excel 模板填错的行 只提示"部分失败" 不知道第几行、什么错误,一般,体验,SIT Excel 10条 含错误,模板准备：第5行手机号10位 第8行姓名空,1.后台导入 2.等待导入结束,1.提示："导入成功8条 失败2条" 没有明细 无法定位具体,1.导入结果明细 展示 第5行：手机号格式不正确（10位） 第8行：姓名为空 2.可下载失败明细Excel 给操作人修正,是,苏绍彰,后端-李工,2025-06-24,已关闭,2025-06-27,通过,导入返回List<错误行号+字段+原因>,ZW-EMS-M02-0027
BUG-EMS-0011,EMS-V2.0,报名缴费,创建订单,同一订单 两个销售页面同时提交 并发下 1个订单扣减了2次库存（班级名额减少2）,严重,并发,SIT 2浏览器,班级剩余名额=3 数学班课,1.浏览器A sales01选择该班级 停在提交前 2.浏览器B sales02同样选择该班级 3.用Fiddler断点同时释放POST请求,1.接口都返回成功 2.DB班级名额：3→1（减少了2 应该减1） 3.订单创建了2个不同订单号,1.只允许1个成功另1个返回名额不足 2.数据库行级锁或乐观锁保证一致性,是（并发）,苏绍彰,后端-开发负责人,2025-06-25,已关闭,2025-06-28,通过,SQL加上乐观锁 version字段 + Redis 分布式锁双保险,ZW-EMS-M04-0013 / 并发用例
BUG-EMS-0012,EMS-V2.0,财务报表,日报,权责发生制：课消收入确认 显示为"现金收付制"（把预收全部算当月收入）,严重,财务合规,SIT 6月 某学员20课时=2000 消耗了5节,查6月报表,1.当月收入栏2000全算进去了,1.确认收入=5节课=500 2.预收账款=15节课=1500 2个科目,是,苏绍彰,后端-财务组,2025-06-26,已关闭,2025-06-29,通过,财务口径必须按消耗课时确认收入,ZW-EMS-M04-0124
BUG-EMS-0013,EMS-V2.0,权限登录,安全,忘记密码/验证码接口 同一个手机号 1分钟内可以请求100+次 无任何限流,严重,安全-被刷,SIT Postman脚本,手机号 138****0000,1.写for循环 连续发100次 发送验证码接口,1.100次全部成功返回 code=0 2.短信网关被扣费100条（测试环境模拟）,1.1分钟同手机号最多3次 2.同IP 1分钟>10次 加图形验证码,是,苏绍彰,后端-安全组,2025-06-26,已关闭,2025-06-28,通过,Redis滑动窗口限流+Spring Cloud Gateway 全局限流,ZW-API-123
BUG-EMS-0014,EMS-V2.0,通用上传,文件,学员附件上传 .exe .php .jspx文件可以成功上传 并可以通过URL直接访问,致命,安全-上传漏洞,SIT 构造木马,任意账号有新增学员权限,1.学员详情→附件上传 2.选择 1.php 内容一句话木马 3.上传 4.点击文件URL访问,1.文件上传成功 有返回URL 2.访问URL 服务器执行PHP脚本（测试环境证实已解析）,1.上传文件必须白名单：jpg/png/pdf/doc/docx/xlsx 仅这几种 2.服务器上传目录禁止脚本执行 3.文件重命名+存COS,是,苏绍彰,运维+后端,2025-06-27,已关闭,2025-06-29,通过,Nginx 上传目录 禁止执行+后端白名单校验扩展名+文件头魔数,ZW-API-100
